tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
68,15.2,family_num=1,True,house_25,1.0,1.0,1.0,42.2,42.2
69,14.2,3>=family_num>=2,False,house_83,1.0,1.0,3.0,48.35,16.116666666666667
1,13.8,family_num=1,False,house_74,1.0,1.0,1.0,42.82,42.82
2,11.8,3>=family_num>=2,False,house_51,1.0,1.0,3.0,46.1,15.366666666666667
0,16.4,3>=family_num>=2,False,house_65,2.0,1.0,2.0,49.07,24.535
64,15.9,3>=family_num>=2,False,house_64,2.0,1.0,3.0,48.75,16.25
61,15.6,3>=family_num>=2,False,house_85,2.0,1.0,3.0,48.7,16.233333333333334
67,15.2,3>=family_num>=2,False,house_19,2.0,2.0,2.0,27.76,13.88
62,16.2,family_num>3,False,house_4,2.0,2.0,4.0,61.7,15.425
56,14.0,family_num=1,False,house_10,1.0,1.0,1.0,38.05,38.05
60,14.9,3>=family_num>=2,False,house_13,3.0,3.0,2.0,38.25,19.125
24,13.9,3>=family_num>=2,False,house_52,2.0,1.0,3.0,44.3,14.766666666666666
52,15.5,3>=family_num>=2,False,house_99,1.0,1.0,2.0,44.51,22.255
23,16.0,3>=family_num>=2,False,house_44,2.0,2.0,2.0,46.14,23.07
49,17.0,family_num=1,False,house_30,1.0,1.0,1.0,44.6,44.6
55,16.7,3>=family_num>=2,False,house_37,2.0,2.0,3.0,58.0,19.333333333333332
53,11.8,family_num>3,False,house_57,1.0,1.0,4.0,60.1,15.025
54,18.0,3>=family_num>=2,False,house_39,3.0,2.0,2.0,57.5,28.75
59,13.5,3>=family_num>=2,False,house_71,3.0,3.0,2.0,42.82,21.41
50,16.0,3>=family_num>=2,False,house_46,2.0,2.0,2.0,44.75,22.375
27,14.6,family_num>3,False,house_3,1.0,1.0,4.0,61.5,15.375
33,15.0,3>=family_num>=2,True,house_98,3.0,3.0,2.0,44.5,22.25
37,15.2,family_num>3,False,house_78,2.0,2.0,4.0,60.3,15.075
46,16.0,family_num=1,False,house_94,1.0,1.0,1.0,44.4,44.4
43,14.2,family_num>3,False,house_77,1.0,1.0,5.0,60.0,12.0
35,14.0,3>=family_num>=2,False,house_54,5.0,5.0,3.0,58.54,19.513333333333332
66,0.0,family_num>3,True,None,10.0,2.0,4.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,2.0,1.0,0.0,0.0
63,0.0,3>=family_num>=2,False,None,9.0,1.0,2.0,0.0,0.0
58,0.0,family_num=1,False,None,9.0,2.0,1.0,0.0,0.0
57,0.0,family_num>3,True,None,8.0,2.0,4.0,0.0,0.0
39,0.0,family_num=1,False,None,7.0,1.0,1.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,7.0,3.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,6.0,2.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,6.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,6.0,1.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,2.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,6.0,1.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,5.0,5.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,3.0,2.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,1.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,1.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,3.0,2.0,0.0,0.0
