,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
68,15.2,family_num=1,True,house_25,1.0,1.0,42.2,42.2
69,14.2,3>=family_num>=2,False,house_83,1.0,3.0,48.35,16.116666666666667
0,16.4,3>=family_num>=2,False,house_65,2.0,2.0,49.07,24.535
1,13.8,family_num=1,False,house_74,2.0,1.0,42.82,42.82
64,14.9,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
61,15.6,3>=family_num>=2,False,house_85,2.0,3.0,48.7,16.233333333333334
24,13.1,3>=family_num>=2,False,house_64,1.0,3.0,48.75,16.25
56,17.0,family_num=1,False,house_30,1.0,1.0,44.6,44.6
62,16.9,family_num>3,False,house_57,2.0,4.0,60.1,15.025
52,15.6,3>=family_num>=2,False,house_10,1.0,2.0,38.05,19.025
49,16.0,family_num=1,False,house_99,1.0,1.0,44.51,44.51
23,16.0,3>=family_num>=2,False,house_44,2.0,2.0,46.14,23.07
60,11.8,3>=family_num>=2,False,house_19,3.0,2.0,27.76,13.88
55,17.0,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
53,12.6,family_num>3,False,house_54,1.0,4.0,58.54,14.635
47,11.8,family_num>3,True,house_52,1.0,4.0,44.3,11.075
54,15.0,3>=family_num>=2,False,house_46,3.0,2.0,44.75,22.375
36,16.0,3>=family_num>=2,False,house_94,1.0,2.0,44.4,22.2
59,16.0,3>=family_num>=2,False,house_98,3.0,2.0,44.5,22.25
46,17.0,family_num=1,False,house_29,1.0,1.0,44.5,44.5
43,14.2,family_num>3,False,house_77,1.0,5.0,60.0,12.0
28,13.3,3>=family_num>=2,True,house_71,3.0,2.0,42.82,21.41
35,15.0,3>=family_num>=2,False,house_3,2.0,3.0,61.5,20.5
26,14.0,family_num=1,True,house_13,4.0,1.0,38.25,38.25
42,14.1,3>=family_num>=2,False,house_17,3.0,2.0,38.6,19.3
9,16.5,3>=family_num>=2,False,house_78,3.0,3.0,60.3,20.099999999999998
