tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
1,18.0,family_num=1,False,house_25,1.0,1.0,1.0,42.2,42.2
69,16.2,3>=family_num>=2,False,house_39,1.0,1.0,3.0,57.5,19.166666666666668
2,11.8,3>=family_num>=2,False,house_51,1.0,1.0,3.0,46.1,15.366666666666667
0,17.0,3>=family_num>=2,False,house_74,1.0,1.0,2.0,42.82,21.41
66,14.2,family_num>3,True,house_83,2.0,2.0,4.0,48.35,12.0875
63,18.0,3>=family_num>=2,False,house_65,1.0,1.0,2.0,49.07,24.535
64,15.9,3>=family_num>=2,False,house_64,2.0,1.0,3.0,48.75,16.25
67,16.5,3>=family_num>=2,False,house_98,2.0,2.0,2.0,44.5,22.25
61,15.6,3>=family_num>=2,False,house_85,2.0,1.0,3.0,48.7,16.233333333333334
56,14.0,family_num=1,False,house_10,1.0,1.0,1.0,38.05,38.05
24,13.9,3>=family_num>=2,False,house_52,2.0,1.0,3.0,44.3,14.766666666666666
52,15.5,3>=family_num>=2,False,house_30,1.0,1.0,2.0,44.6,22.3
23,18.0,3>=family_num>=2,False,house_37,2.0,2.0,2.0,58.0,29.0
55,14.6,3>=family_num>=2,False,house_44,2.0,2.0,3.0,46.14,15.38
54,17.0,3>=family_num>=2,False,house_71,3.0,2.0,2.0,42.82,21.41
49,15.0,family_num=1,False,house_13,2.0,1.0,1.0,38.25,38.25
59,16.0,3>=family_num>=2,False,house_99,3.0,3.0,2.0,44.51,22.255
53,12.6,family_num>3,False,house_54,2.0,2.0,4.0,58.54,14.635
33,15.0,3>=family_num>=2,True,house_94,2.0,2.0,2.0,44.4,22.2
36,17.7,3>=family_num>=2,False,house_29,2.0,1.0,2.0,44.5,22.25
46,15.0,family_num=1,False,house_17,1.0,1.0,1.0,38.6,38.6
43,14.6,family_num>3,False,house_46,1.0,1.0,5.0,44.75,8.95
41,15.4,3>=family_num>=2,False,house_77,1.0,1.0,3.0,60.0,20.0
35,17.2,3>=family_num>=2,False,house_57,2.0,2.0,3.0,60.1,20.033333333333335
28,15.2,3>=family_num>=2,True,house_19,4.0,4.0,2.0,27.76,13.88
12,14.2,family_num>3,False,house_4,3.0,3.0,4.0,61.7,15.425
68,0.0,family_num=1,True,None,10.0,1.0,1.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,2.0,1.0,0.0,0.0
62,0.0,family_num>3,False,None,9.0,2.0,4.0,0.0,0.0
60,0.0,3>=family_num>=2,False,None,9.0,2.0,2.0,0.0,0.0
58,0.0,family_num=1,False,None,9.0,2.0,1.0,0.0,0.0
57,0.0,family_num>3,True,None,8.0,2.0,4.0,0.0,0.0
39,0.0,family_num=1,False,None,7.0,1.0,1.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,3.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,2.0,0.0,0.0
27,0.0,family_num>3,False,None,6.0,1.0,4.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,6.0,1.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,1.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,2.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,6.0,1.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,5.0,5.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,2.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,2.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,3.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,3.0,2.0,0.0,0.0
