,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
2,11.8,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
0,17.0,3>=family_num>=2,False,house_74,1.0,2.0,42.82,21.41
66,14.2,family_num>3,True,house_83,2.0,4.0,48.35,12.0875
63,18.0,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
64,15.9,3>=family_num>=2,False,house_64,2.0,3.0,48.75,16.25
67,16.5,3>=family_num>=2,False,house_98,2.0,2.0,44.5,22.25
61,15.6,3>=family_num>=2,False,house_85,2.0,3.0,48.7,16.233333333333334
56,14.0,family_num=1,False,house_10,1.0,1.0,38.05,38.05
24,13.9,3>=family_num>=2,False,house_52,2.0,3.0,44.3,14.766666666666666
52,15.5,3>=family_num>=2,False,house_30,1.0,2.0,44.6,22.3
23,18.0,3>=family_num>=2,False,house_37,2.0,2.0,58.0,29.0
55,14.6,3>=family_num>=2,False,house_44,2.0,3.0,46.14,15.38
54,17.0,3>=family_num>=2,False,house_71,3.0,2.0,42.82,21.41
49,15.0,family_num=1,False,house_13,2.0,1.0,38.25,38.25
59,16.0,3>=family_num>=2,False,house_99,3.0,2.0,44.51,22.255
53,12.6,family_num>3,False,house_54,2.0,4.0,58.54,14.635
33,15.0,3>=family_num>=2,True,house_94,2.0,2.0,44.4,22.2
36,17.7,3>=family_num>=2,False,house_29,2.0,2.0,44.5,22.25
46,15.0,family_num=1,False,house_17,1.0,1.0,38.6,38.6
43,14.6,family_num>3,False,house_46,1.0,5.0,44.75,8.95
41,15.4,3>=family_num>=2,False,house_77,1.0,3.0,60.0,20.0
35,17.2,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
28,15.2,3>=family_num>=2,True,house_19,4.0,2.0,27.76,13.88
12,14.2,family_num>3,False,house_4,3.0,4.0,61.7,15.425
