tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
66,13.4,family_num>3,True,house_51,1.0,1.0,4.0,46.1,11.525
1,17.0,family_num=1,False,house_10,2.0,1.0,1.0,38.05,38.05
2,10.8,3>=family_num>=2,False,house_39,2.0,2.0,3.0,57.5,19.166666666666668
0,16.0,3>=family_num>=2,False,house_83,2.0,2.0,2.0,48.35,24.175
60,17.5,3>=family_num>=2,False,house_30,1.0,1.0,2.0,44.6,22.3
64,14.5,3>=family_num>=2,False,house_57,2.0,2.0,3.0,60.1,20.033333333333335
57,10.0,family_num>3,True,house_74,1.0,1.0,4.0,42.82,10.705
63,18.0,3>=family_num>=2,False,house_65,2.0,2.0,2.0,49.07,24.535
59,16.0,3>=family_num>=2,False,house_85,1.0,1.0,2.0,48.7,24.35
61,14.0,3>=family_num>=2,False,house_54,3.0,3.0,3.0,58.54,19.513333333333332
33,14.6,3>=family_num>=2,True,house_44,1.0,1.0,2.0,46.14,23.07
62,14.4,family_num>3,False,house_37,3.0,3.0,4.0,58.0,14.5
51,13.2,3>=family_num>=2,False,house_64,1.0,1.0,3.0,48.75,16.25
24,13.4,3>=family_num>=2,False,house_3,3.0,3.0,3.0,61.5,20.5
58,17.0,family_num=1,False,house_29,4.0,4.0,1.0,44.5,44.5
28,14.4,3>=family_num>=2,True,house_46,1.0,1.0,2.0,44.75,22.375
23,16.0,3>=family_num>=2,False,house_52,3.0,3.0,2.0,44.3,22.15
26,14.0,family_num=1,True,house_13,2.0,1.0,1.0,38.25,38.25
45,15.0,3>=family_num>=2,False,house_99,1.0,1.0,2.0,44.51,22.255
40,13.8,3>=family_num>=2,True,house_19,1.0,1.0,2.0,27.76,13.88
13,17.2,family_num=1,True,house_25,1.0,1.0,1.0,42.2,42.2
54,14.2,3>=family_num>=2,False,house_17,6.0,6.0,2.0,38.6,19.3
69,0.0,3>=family_num>=2,False,None,10.0,1.0,3.0,0.0,0.0
68,0.0,family_num=1,True,None,10.0,1.0,1.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,3.0,1.0,0.0,0.0
67,0.0,3>=family_num>=2,False,None,9.0,1.0,2.0,0.0,0.0
56,0.0,family_num=1,False,None,8.0,4.0,1.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,8.0,4.0,3.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,7.0,5.0,2.0,0.0,0.0
39,0.0,family_num=1,False,None,7.0,7.0,1.0,0.0,0.0
53,0.0,family_num>3,False,None,7.0,7.0,4.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,7.0,2.0,0.0,0.0
49,0.0,family_num=1,False,None,7.0,7.0,1.0,0.0,0.0
27,0.0,family_num>3,False,None,6.0,6.0,4.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,6.0,6.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,6.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,6.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,6.0,6.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,5.0,1.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,5.0,1.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,5.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,4.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,3.0,2.0,0.0,0.0
