,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
66,13.4,family_num>3,True,house_51,1.0,4.0,46.1,11.525
1,17.0,family_num=1,False,house_10,2.0,1.0,38.05,38.05
2,10.8,3>=family_num>=2,False,house_39,2.0,3.0,57.5,19.166666666666668
0,16.0,3>=family_num>=2,False,house_83,2.0,2.0,48.35,24.175
60,17.5,3>=family_num>=2,False,house_30,1.0,2.0,44.6,22.3
64,14.5,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
57,10.0,family_num>3,True,house_74,1.0,4.0,42.82,10.705
63,18.0,3>=family_num>=2,False,house_65,2.0,2.0,49.07,24.535
59,16.0,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
61,14.0,3>=family_num>=2,False,house_54,3.0,3.0,58.54,19.513333333333332
33,14.6,3>=family_num>=2,True,house_44,1.0,2.0,46.14,23.07
62,14.4,family_num>3,False,house_37,3.0,4.0,58.0,14.5
51,13.2,3>=family_num>=2,False,house_64,1.0,3.0,48.75,16.25
24,13.4,3>=family_num>=2,False,house_3,3.0,3.0,61.5,20.5
58,17.0,family_num=1,False,house_29,4.0,1.0,44.5,44.5
28,14.4,3>=family_num>=2,True,house_46,1.0,2.0,44.75,22.375
23,16.0,3>=family_num>=2,False,house_52,3.0,2.0,44.3,22.15
26,14.0,family_num=1,True,house_13,2.0,1.0,38.25,38.25
45,15.0,3>=family_num>=2,False,house_99,1.0,2.0,44.51,22.255
40,13.8,3>=family_num>=2,True,house_19,1.0,2.0,27.76,13.88
13,17.2,family_num=1,True,house_25,1.0,1.0,42.2,42.2
54,14.2,3>=family_num>=2,False,house_17,6.0,2.0,38.6,19.3
