,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,14.2,3>=family_num>=2,False,house_51,2.0,3.0,46.1,15.366666666666667
0,15.0,3>=family_num>=2,False,house_30,2.0,2.0,44.6,22.3
64,17.0,3>=family_num>=2,False,house_4,1.0,3.0,61.7,20.566666666666666
65,17.0,family_num=1,False,house_25,3.0,1.0,42.2,42.2
61,17.2,3>=family_num>=2,False,house_39,2.0,3.0,57.5,19.166666666666668
24,15.3,3>=family_num>=2,False,house_74,1.0,3.0,42.82,14.273333333333333
63,16.0,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
56,15.0,family_num=1,False,house_98,1.0,1.0,44.5,44.5
62,16.9,family_num>3,False,house_57,2.0,4.0,60.1,15.025
1,14.0,family_num=1,False,house_99,4.0,1.0,44.51,44.51
60,16.5,3>=family_num>=2,False,house_64,3.0,2.0,48.75,24.375
68,13.8,family_num=1,False,house_10,4.0,1.0,38.05,38.05
33,14.6,3>=family_num>=2,False,house_44,1.0,2.0,46.14,23.07
23,17.0,3>=family_num>=2,False,house_29,3.0,2.0,44.5,22.25
39,16.0,family_num=1,True,house_94,2.0,1.0,44.4,44.4
27,14.6,family_num>3,True,house_3,1.0,4.0,61.5,15.375
52,15.1,3>=family_num>=2,False,house_17,3.0,2.0,38.6,19.3
48,18.0,3>=family_num>=2,False,house_37,1.0,2.0,58.0,29.0
53,15.4,family_num>3,False,house_78,3.0,4.0,60.3,15.075
50,15.0,3>=family_num>=2,False,house_52,4.0,2.0,44.3,22.15
45,16.4,3>=family_num>=2,False,house_46,2.0,2.0,44.75,22.375
37,16.4,family_num>3,False,house_71,3.0,4.0,42.82,10.705
49,15.0,family_num=1,False,house_13,5.0,1.0,38.25,38.25
13,15.0,family_num=1,False,house_19,3.0,1.0,27.76,27.76
35,17.4,3>=family_num>=2,False,house_65,5.0,3.0,49.07,16.356666666666666
