,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
66,11.9,family_num>3,True,house_39,1.0,4.0,57.5,14.375
68,15.2,family_num=1,True,house_74,1.0,1.0,42.82,42.82
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
65,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
67,16.6,3>=family_num>=2,False,house_10,1.0,2.0,38.05,19.025
60,13.0,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
69,18.0,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
63,17.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
23,16.0,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
59,16.0,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
56,15.0,family_num=1,False,house_98,1.0,1.0,44.5,44.5
54,17.0,3>=family_num>=2,False,house_44,2.0,2.0,46.14,23.07
52,15.5,3>=family_num>=2,False,house_99,1.0,2.0,44.51,22.255
39,15.0,family_num=1,False,house_13,1.0,1.0,38.25,38.25
64,13.4,3>=family_num>=2,False,house_54,3.0,3.0,58.54,19.513333333333332
36,17.7,3>=family_num>=2,False,house_29,1.0,2.0,44.5,22.25
26,13.2,family_num=1,True,house_71,1.0,1.0,42.82,42.82
49,17.0,family_num=1,False,house_94,2.0,1.0,44.4,44.4
28,12.4,3>=family_num>=2,True,house_52,1.0,2.0,44.3,22.15
62,14.2,family_num>3,False,house_3,4.0,4.0,61.5,15.375
27,15.2,family_num>3,False,house_46,1.0,4.0,44.75,11.1875
32,15.0,family_num=1,True,house_19,1.0,1.0,27.76,27.76
46,15.0,family_num=1,False,house_17,1.0,1.0,38.6,38.6
24,11.7,3>=family_num>=2,False,house_57,5.0,3.0,60.1,20.033333333333335
55,17.0,3>=family_num>=2,False,house_78,6.0,3.0,60.3,20.099999999999998
2,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
61,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
58,0.0,family_num=1,False,None,9.0,1.0,0.0,0.0
57,0.0,family_num>3,True,None,8.0,4.0,0.0,0.0
33,0.0,3>=family_num>=2,True,None,7.0,2.0,0.0,0.0
53,0.0,family_num>3,False,None,7.0,4.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
