,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
68,15.2,family_num=1,False,house_25,1.0,1.0,42.2,42.2
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
65,17.1,family_num=1,False,house_74,1.0,1.0,42.82,42.82
64,12.4,3>=family_num>=2,False,house_65,1.0,3.0,49.07,16.356666666666666
61,15.6,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
62,16.2,family_num>3,False,house_4,1.0,4.0,61.7,15.425
60,17.5,3>=family_num>=2,False,house_30,1.0,2.0,44.6,22.3
24,13.1,3>=family_num>=2,False,house_64,1.0,3.0,48.75,16.25
23,16.0,3>=family_num>=2,False,house_98,1.0,2.0,44.5,22.25
63,16.0,3>=family_num>=2,False,house_85,3.0,2.0,48.7,24.35
51,9.8,3>=family_num>=2,True,house_57,1.0,3.0,60.1,20.033333333333335
39,17.0,family_num=1,True,house_19,1.0,1.0,27.76,27.76
33,15.0,3>=family_num>=2,False,house_99,1.0,2.0,44.51,22.255
53,12.6,family_num>3,False,house_54,1.0,4.0,58.54,14.635
49,15.0,family_num=1,False,house_13,1.0,1.0,38.25,38.25
27,15.2,family_num>3,True,house_44,1.0,4.0,46.14,11.535
38,14.8,family_num>3,True,house_37,1.0,4.0,58.0,14.5
36,13.5,3>=family_num>=2,True,house_71,1.0,2.0,42.82,21.41
37,15.4,family_num>3,False,house_46,1.0,4.0,44.75,11.1875
47,11.9,family_num>3,False,house_3,1.0,4.0,61.5,15.375
35,16.0,3>=family_num>=2,False,house_78,1.0,3.0,60.3,20.099999999999998
26,15.0,family_num=1,True,house_94,2.0,1.0,44.4,44.4
28,14.3,3>=family_num>=2,False,house_10,2.0,2.0,38.05,19.025
48,18.0,3>=family_num>=2,False,house_29,1.0,2.0,44.5,22.25
32,16.0,family_num=1,False,house_17,1.0,1.0,38.6,38.6
43,14.2,family_num>3,False,house_77,1.0,5.0,60.0,12.0
30,15.0,3>=family_num>=2,False,house_52,1.0,2.0,44.3,22.15
