tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
0,17.0,3>=family_num>=2,False,house_74,1.0,1.0,2.0,42.82,21.41
66,14.2,family_num>3,True,house_83,1.0,1.0,4.0,48.35,12.0875
2,10.8,3>=family_num>=2,False,house_39,1.0,1.0,3.0,57.5,19.166666666666668
65,16.0,family_num=1,False,house_30,2.0,1.0,1.0,44.6,44.6
63,15.6,3>=family_num>=2,False,house_10,1.0,1.0,2.0,38.05,19.025
1,18.0,family_num=1,False,house_25,2.0,2.0,1.0,42.2,42.2
60,16.5,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
61,17.6,3>=family_num>=2,False,house_65,1.0,1.0,3.0,49.07,16.356666666666666
58,13.0,family_num=1,False,house_19,2.0,2.0,1.0,27.76,27.76
62,16.2,family_num>3,False,house_4,2.0,2.0,4.0,61.7,15.425
54,17.0,3>=family_num>=2,False,house_85,1.0,1.0,2.0,48.7,24.35
59,16.0,3>=family_num>=2,False,house_98,1.0,1.0,2.0,44.5,22.25
55,16.7,3>=family_num>=2,False,house_37,1.0,1.0,3.0,58.0,19.333333333333332
56,15.0,family_num=1,False,house_13,2.0,2.0,1.0,38.25,38.25
23,16.0,3>=family_num>=2,False,house_64,2.0,1.0,2.0,48.75,24.375
24,13.0,3>=family_num>=2,False,house_44,2.0,1.0,3.0,46.14,15.38
33,15.0,3>=family_num>=2,True,house_99,1.0,1.0,2.0,44.51,22.255
53,11.8,family_num>3,False,house_57,1.0,1.0,4.0,60.1,15.025
51,12.7,3>=family_num>=2,False,house_54,1.0,1.0,3.0,58.54,19.513333333333332
39,18.0,family_num=1,False,house_71,2.0,2.0,1.0,42.82,42.82
50,16.0,3>=family_num>=2,False,house_46,2.0,1.0,2.0,44.75,22.375
52,14.5,3>=family_num>=2,False,house_52,2.0,1.0,2.0,44.3,22.15
47,11.9,family_num>3,True,house_3,1.0,1.0,4.0,61.5,15.375
36,16.0,3>=family_num>=2,False,house_94,2.0,1.0,2.0,44.4,22.2
48,18.0,3>=family_num>=2,False,house_29,1.0,1.0,2.0,44.5,22.25
30,12.2,3>=family_num>=2,False,house_17,2.0,1.0,2.0,38.6,19.3
37,15.2,family_num>3,False,house_78,3.0,3.0,4.0,60.3,15.075
