,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
2,11.8,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
66,11.9,family_num>3,False,house_39,2.0,4.0,57.5,14.375
64,15.8,3>=family_num>=2,False,house_74,2.0,3.0,42.82,14.273333333333333
63,17.0,3>=family_num>=2,False,house_30,2.0,2.0,44.6,22.3
67,16.5,3>=family_num>=2,True,house_85,3.0,2.0,48.7,24.35
61,13.2,3>=family_num>=2,False,house_37,3.0,3.0,58.0,19.333333333333332
62,16.9,family_num>3,False,house_57,3.0,4.0,60.1,15.025
58,15.5,family_num=1,True,house_83,3.0,1.0,48.35,48.35
59,15.6,3>=family_num>=2,False,house_65,3.0,2.0,49.07,24.535
56,15.0,family_num=1,False,house_19,3.0,1.0,27.76,27.76
55,17.0,3>=family_num>=2,False,house_4,3.0,3.0,61.7,20.566666666666666
60,17.5,3>=family_num>=2,False,house_52,4.0,2.0,44.3,22.15
39,16.0,family_num=1,True,house_99,4.0,1.0,44.51,44.51
50,15.0,3>=family_num>=2,False,house_44,5.0,2.0,46.14,23.07
49,18.0,family_num=1,False,house_29,5.0,1.0,44.5,44.5
27,15.2,family_num>3,True,house_46,5.0,4.0,44.75,11.1875
36,15.0,3>=family_num>=2,True,house_98,5.0,2.0,44.5,22.25
32,16.0,family_num=1,False,house_94,6.0,1.0,44.4,44.4
30,17.0,3>=family_num>=2,False,house_64,6.0,2.0,48.75,24.375
35,14.0,3>=family_num>=2,False,house_54,6.0,3.0,58.54,19.513333333333332
46,17.0,family_num=1,False,house_10,6.0,1.0,38.05,38.05
45,16.6,3>=family_num>=2,False,house_13,6.0,2.0,38.25,19.125
47,13.8,family_num>3,False,house_77,7.0,4.0,60.0,15.0
43,15.2,family_num>3,False,house_78,7.0,5.0,60.3,12.059999999999999
44,14.0,3>=family_num>=2,False,house_3,7.0,3.0,61.5,20.5
25,17.0,3>=family_num>=2,False,house_71,9.0,2.0,42.82,21.41
69,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
0,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
68,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
24,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
57,0.0,family_num>3,False,None,10.0,4.0,0.0,0.0
54,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
33,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
53,0.0,family_num>3,False,None,10.0,4.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,10.0,3.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
26,0.0,family_num=1,True,None,10.0,1.0,0.0,0.0
38,0.0,family_num>3,True,None,10.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,10.0,4.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
42,0.0,3>=family_num>=2,True,None,10.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,10.0,4.0,0.0,0.0
13,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,10.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,10.0,2.0,0.0,0.0
