tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,1.0,3.0,57.5,19.166666666666668
0,15.0,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
1,18.0,family_num=1,False,house_25,1.0,1.0,1.0,42.2,42.2
2,13.4,3>=family_num>=2,False,house_83,1.0,1.0,3.0,48.35,16.116666666666667
68,15.2,family_num=1,True,house_74,1.0,1.0,1.0,42.82,42.82
66,10.2,family_num>3,True,house_65,2.0,1.0,4.0,49.07,12.2675
65,14.0,family_num=1,False,house_19,2.0,2.0,1.0,27.76,27.76
67,15.0,3>=family_num>=2,False,house_30,2.0,2.0,2.0,44.6,22.3
64,14.8,3>=family_num>=2,False,house_10,2.0,2.0,3.0,38.05,12.683333333333332
61,17.0,3>=family_num>=2,False,house_4,2.0,2.0,3.0,61.7,20.566666666666666
63,18.0,3>=family_num>=2,False,house_64,3.0,2.0,2.0,48.75,24.375
62,14.4,family_num>3,False,house_37,3.0,3.0,4.0,58.0,14.5
60,16.5,3>=family_num>=2,False,house_98,3.0,3.0,2.0,44.5,22.25
59,16.0,3>=family_num>=2,False,house_85,3.0,3.0,2.0,48.7,24.35
58,14.5,family_num=1,False,house_99,4.0,3.0,1.0,44.51,44.51
23,15.6,3>=family_num>=2,False,house_13,4.0,3.0,2.0,38.25,19.125
57,9.4,family_num>3,True,house_44,4.0,4.0,4.0,46.14,11.535
54,17.0,3>=family_num>=2,False,house_52,4.0,4.0,2.0,44.3,22.15
24,12.9,3>=family_num>=2,False,house_46,5.0,4.0,3.0,44.75,14.916666666666666
56,17.0,family_num=1,False,house_29,5.0,4.0,1.0,44.5,44.5
52,16.5,3>=family_num>=2,False,house_94,5.0,5.0,2.0,44.4,22.2
39,18.0,family_num=1,False,house_71,5.0,5.0,1.0,42.82,42.82
53,12.6,family_num>3,False,house_54,5.0,5.0,4.0,58.54,14.635
33,14.4,3>=family_num>=2,True,house_17,6.0,5.0,2.0,38.6,19.3
27,14.6,family_num>3,False,house_78,6.0,6.0,4.0,60.3,15.075
38,11.0,family_num>3,False,house_57,8.0,8.0,4.0,60.1,15.025
37,14.4,family_num>3,False,house_77,10.0,10.0,4.0,60.0,15.0
55,0.0,3>=family_num>=2,False,None,10.0,4.0,3.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,10.0,5.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,10.0,6.0,2.0,0.0,0.0
49,0.0,family_num=1,False,None,10.0,6.0,1.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,10.0,6.0,2.0,0.0,0.0
26,0.0,family_num=1,True,None,10.0,8.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,10.0,8.0,2.0,0.0,0.0
47,0.0,family_num>3,True,None,10.0,10.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,10.0,10.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,10.0,10.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,10.0,10.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,10.0,10.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,10.0,10.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,10.0,10.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,10.0,10.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,10.0,10.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,10.0,10.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,10.0,10.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,10.0,10.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,10.0,10.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,10.0,10.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,10.0,10.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,10.0,10.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,10.0,10.0,2.0,0.0,0.0
