tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
0,16.0,3>=family_num>=2,False,house_83,1.0,1.0,2.0,48.35,24.175
66,13.4,family_num>3,True,house_51,1.0,1.0,4.0,46.1,11.525
2,15.4,3>=family_num>=2,False,house_4,2.0,1.0,3.0,61.7,20.566666666666666
65,17.0,family_num=1,False,house_25,2.0,2.0,1.0,42.2,42.2
63,17.0,3>=family_num>=2,False,house_30,2.0,2.0,2.0,44.6,22.3
45,14.2,3>=family_num>=2,False,house_19,2.0,2.0,2.0,27.76,13.88
67,16.5,3>=family_num>=2,False,house_98,3.0,2.0,2.0,44.5,22.25
40,16.4,3>=family_num>=2,True,house_10,3.0,3.0,2.0,38.05,19.025
61,13.2,3>=family_num>=2,False,house_37,2.0,2.0,3.0,58.0,19.333333333333332
62,14.4,family_num>3,False,house_65,2.0,2.0,4.0,49.07,12.2675
60,16.5,3>=family_num>=2,False,house_85,2.0,2.0,2.0,48.7,24.35
58,18.0,family_num=1,False,house_74,2.0,2.0,1.0,42.82,42.82
23,16.0,3>=family_num>=2,False,house_64,2.0,2.0,2.0,48.75,24.375
24,13.0,3>=family_num>=2,False,house_44,3.0,3.0,3.0,46.14,15.38
57,11.8,family_num>3,True,house_52,3.0,3.0,4.0,44.3,11.075
56,16.0,family_num=1,False,house_99,3.0,3.0,1.0,44.51,44.51
44,15.8,3>=family_num>=2,False,house_46,4.0,3.0,3.0,44.75,14.916666666666666
25,16.0,3>=family_num>=2,False,house_29,4.0,4.0,2.0,44.5,22.25
54,17.0,3>=family_num>=2,False,house_71,3.0,3.0,2.0,42.82,21.41
52,16.5,3>=family_num>=2,False,house_94,3.0,3.0,2.0,44.4,22.2
39,15.0,family_num=1,False,house_13,3.0,3.0,1.0,38.25,38.25
53,11.8,family_num>3,False,house_57,3.0,3.0,4.0,60.1,15.025
33,14.4,3>=family_num>=2,True,house_17,4.0,3.0,2.0,38.6,19.3
51,12.7,3>=family_num>=2,False,house_54,4.0,3.0,3.0,58.54,19.513333333333332
12,15.2,family_num>3,False,house_3,6.0,6.0,4.0,61.5,15.375
38,16.2,family_num>3,False,house_77,7.0,7.0,4.0,60.0,15.0
47,14.4,family_num>3,True,house_78,7.0,7.0,4.0,60.3,15.075
