tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,1.0,3.0,57.5,19.166666666666668
0,15.0,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
2,13.4,3>=family_num>=2,False,house_83,1.0,1.0,3.0,48.35,16.116666666666667
1,18.0,family_num=1,False,house_25,2.0,1.0,1.0,42.2,42.2
68,15.0,family_num=1,True,house_19,2.0,1.0,1.0,27.76,27.76
66,14.8,family_num>3,True,house_10,2.0,1.0,4.0,38.05,9.5125
67,15.0,3>=family_num>=2,False,house_30,2.0,2.0,2.0,44.6,22.3
64,12.4,3>=family_num>=2,False,house_65,2.0,2.0,3.0,49.07,16.356666666666666
63,17.0,3>=family_num>=2,False,house_74,2.0,2.0,2.0,42.82,21.41
65,15.0,family_num=1,False,house_98,3.0,2.0,1.0,44.5,44.5
45,16.0,3>=family_num>=2,False,house_85,3.0,2.0,2.0,48.7,24.35
43,11.1,family_num>3,False,house_57,3.0,3.0,5.0,60.1,12.02
61,17.6,3>=family_num>=2,False,house_64,1.0,1.0,3.0,48.75,16.25
62,16.2,family_num>3,False,house_4,1.0,1.0,4.0,61.7,15.425
40,16.0,3>=family_num>=2,True,house_99,4.0,3.0,2.0,44.51,22.255
60,14.9,3>=family_num>=2,False,house_13,2.0,1.0,2.0,38.25,19.125
59,14.1,3>=family_num>=2,False,house_52,2.0,2.0,2.0,44.3,22.15
24,14.5,3>=family_num>=2,False,house_37,2.0,2.0,3.0,58.0,19.333333333333332
57,9.4,family_num>3,True,house_44,2.0,2.0,4.0,46.14,11.535
23,17.0,3>=family_num>=2,False,house_29,3.0,2.0,2.0,44.5,22.25
56,16.0,family_num=1,False,house_94,3.0,3.0,1.0,44.4,44.4
55,16.2,3>=family_num>=2,False,house_71,3.0,3.0,3.0,42.82,14.273333333333333
44,15.8,3>=family_num>=2,False,house_46,3.0,3.0,3.0,44.75,14.916666666666666
41,11.4,3>=family_num>=2,False,house_54,3.0,3.0,3.0,58.54,19.513333333333332
54,14.2,3>=family_num>=2,False,house_17,2.0,2.0,2.0,38.6,19.3
58,0.0,family_num=1,False,None,8.0,2.0,1.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,8.0,3.0,2.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,6.0,2.0,2.0,0.0,0.0
39,0.0,family_num=1,False,None,6.0,2.0,1.0,0.0,0.0
33,0.0,3>=family_num>=2,True,None,6.0,3.0,2.0,0.0,0.0
53,0.0,family_num>3,False,None,6.0,4.0,4.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,6.0,4.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,6.0,5.0,2.0,0.0,0.0
49,0.0,family_num=1,False,None,6.0,6.0,1.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,6.0,2.0,0.0,0.0
27,0.0,family_num>3,False,None,6.0,6.0,4.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,6.0,6.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,6.0,6.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,6.0,6.0,1.0,0.0,0.0
26,0.0,family_num=1,True,None,4.0,4.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,4.0,4.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,4.0,4.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,4.0,4.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,4.0,4.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,4.0,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
