tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
0,16.0,3>=family_num>=2,False,house_83,1.0,1.0,2.0,48.35,24.175
1,16.0,family_num=1,False,house_94,1.0,1.0,1.0,44.4,44.4
2,11.2,3>=family_num>=2,False,house_65,1.0,1.0,3.0,49.07,16.356666666666666
68,15.2,family_num=1,True,house_25,1.0,1.0,1.0,42.2,42.2
66,8.0,family_num>3,True,house_54,1.0,1.0,4.0,58.54,14.635
65,16.0,family_num=1,False,house_10,1.0,1.0,1.0,38.05,38.05
67,14.0,3>=family_num>=2,False,house_46,1.0,1.0,2.0,44.75,22.375
64,12.9,3>=family_num>=2,False,house_39,1.0,1.0,3.0,57.5,19.166666666666668
63,17.0,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
62,11.4,family_num>3,False,house_77,1.0,1.0,4.0,60.0,15.0
60,17.5,3>=family_num>=2,False,house_99,1.0,1.0,2.0,44.51,22.255
59,14.1,3>=family_num>=2,False,house_52,1.0,1.0,2.0,44.3,22.15
23,14.2,3>=family_num>=2,False,house_19,1.0,1.0,2.0,27.76,13.88
24,14.2,3>=family_num>=2,False,house_17,1.0,1.0,3.0,38.6,12.866666666666667
57,14.0,family_num>3,True,house_3,1.0,1.0,4.0,61.5,15.375
56,17.0,family_num=1,False,house_30,1.0,1.0,1.0,44.6,44.6
58,14.5,family_num=1,False,house_98,2.0,1.0,1.0,44.5,44.5
55,12.6,3>=family_num>=2,False,house_85,2.0,2.0,3.0,48.7,16.233333333333334
39,18.0,family_num=1,False,house_29,1.0,1.0,1.0,44.5,44.5
33,15.4,3>=family_num>=2,True,house_13,1.0,1.0,2.0,38.25,19.125
49,16.1,family_num=1,False,house_74,1.0,1.0,1.0,42.82,42.82
27,14.6,family_num>3,False,house_78,1.0,1.0,4.0,60.3,15.075
54,17.0,3>=family_num>=2,False,house_71,2.0,1.0,2.0,42.82,21.41
53,11.8,family_num>3,False,house_57,2.0,1.0,4.0,60.1,15.025
38,12.4,family_num>3,False,house_64,2.0,2.0,4.0,48.75,12.1875
37,13.4,family_num>3,False,house_44,2.0,2.0,4.0,46.14,11.535
35,14.4,3>=family_num>=2,False,house_37,6.0,6.0,3.0,58.0,19.333333333333332
69,0.0,3>=family_num>=2,False,None,10.0,1.0,3.0,0.0,0.0
61,0.0,3>=family_num>=2,False,None,9.0,1.0,3.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,8.0,1.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,8.0,1.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,8.0,1.0,2.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,8.0,1.0,2.0,0.0,0.0
26,0.0,family_num=1,True,None,7.0,1.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,7.0,2.0,2.0,0.0,0.0
47,0.0,family_num>3,True,None,7.0,3.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,7.0,4.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,7.0,5.0,2.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,7.0,7.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,7.0,7.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,6.0,6.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,6.0,6.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,6.0,6.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,6.0,6.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,6.0,6.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,6.0,6.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,6.0,6.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,6.0,6.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,6.0,6.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,6.0,6.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,6.0,6.0,2.0,0.0,0.0
