,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
2,11.8,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
68,15.2,family_num=1,True,house_74,1.0,1.0,42.82,42.82
69,16.2,3>=family_num>=2,False,house_39,2.0,3.0,57.5,19.166666666666668
61,16.2,3>=family_num>=2,False,house_10,1.0,3.0,38.05,12.683333333333332
63,15.0,3>=family_num>=2,False,house_98,2.0,2.0,44.5,22.25
62,14.4,family_num>3,False,house_65,2.0,4.0,49.07,12.2675
60,17.5,3>=family_num>=2,False,house_30,2.0,2.0,44.6,22.3
58,13.0,family_num=1,False,house_19,2.0,1.0,27.76,27.76
59,10.1,3>=family_num>=2,False,house_57,1.0,2.0,60.1,30.05
24,13.9,3>=family_num>=2,False,house_52,2.0,3.0,44.3,14.766666666666666
57,13.2,family_num>3,True,house_13,2.0,4.0,38.25,9.5625
56,16.0,family_num=1,False,house_99,2.0,1.0,44.51,44.51
55,16.3,3>=family_num>=2,False,house_64,2.0,3.0,48.75,16.25
54,17.0,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
52,12.0,3>=family_num>=2,False,house_44,1.0,2.0,46.14,23.07
53,16.4,family_num>3,False,house_4,1.0,4.0,61.7,15.425
39,18.0,family_num=1,False,house_29,2.0,1.0,44.5,44.5
50,18.0,3>=family_num>=2,False,house_71,2.0,2.0,42.82,21.41
49,17.0,family_num=1,False,house_94,2.0,1.0,44.4,44.4
27,14.6,family_num>3,False,house_3,1.0,4.0,61.5,15.375
26,16.0,family_num=1,True,house_17,2.0,1.0,38.6,38.6
37,14.4,family_num>3,False,house_77,2.0,4.0,60.0,15.0
30,17.0,3>=family_num>=2,False,house_46,3.0,2.0,44.75,22.375
35,14.4,3>=family_num>=2,False,house_37,3.0,3.0,58.0,19.333333333333332
66,0.0,family_num>3,True,None,10.0,4.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,1.0,0.0,0.0
67,0.0,3>=family_num>=2,False,None,9.0,2.0,0.0,0.0
64,0.0,3>=family_num>=2,False,None,9.0,3.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
33,0.0,3>=family_num>=2,True,None,7.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,3.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,5.0,1.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
