,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,15.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
68,15.2,family_num=1,True,house_74,1.0,1.0,42.82,42.82
2,13.4,3>=family_num>=2,False,house_83,1.0,3.0,48.35,16.116666666666667
63,18.0,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
66,14.8,family_num>3,True,house_4,2.0,4.0,61.7,15.425
65,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
60,15.4,3>=family_num>=2,False,house_10,1.0,2.0,38.05,19.025
61,15.6,3>=family_num>=2,False,house_85,2.0,3.0,48.7,16.233333333333334
67,11.5,3>=family_num>=2,False,house_37,2.0,2.0,58.0,29.0
56,15.0,family_num=1,False,house_19,1.0,1.0,27.76,27.76
64,14.5,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
62,16.4,family_num>3,False,house_54,3.0,4.0,58.54,14.635
52,15.1,3>=family_num>=2,False,house_13,1.0,2.0,38.25,19.125
23,16.0,3>=family_num>=2,False,house_64,2.0,2.0,48.75,24.375
39,16.0,family_num=1,False,house_99,1.0,1.0,44.51,44.51
24,13.9,3>=family_num>=2,False,house_52,2.0,3.0,44.3,14.766666666666666
33,15.0,3>=family_num>=2,True,house_98,1.0,2.0,44.5,22.25
55,16.0,3>=family_num>=2,False,house_3,3.0,3.0,61.5,20.5
50,18.0,3>=family_num>=2,False,house_71,2.0,2.0,42.82,21.41
57,9.4,family_num>3,True,house_44,3.0,4.0,46.14,11.535
49,17.0,family_num=1,False,house_94,2.0,1.0,44.4,44.4
54,15.0,3>=family_num>=2,False,house_46,3.0,2.0,44.75,22.375
28,16.5,3>=family_num>=2,True,house_29,1.0,2.0,44.5,22.25
53,15.4,family_num>3,False,house_78,3.0,4.0,60.3,15.075
26,16.0,family_num=1,True,house_17,2.0,1.0,38.6,38.6
37,14.4,family_num>3,False,house_77,2.0,4.0,60.0,15.0
58,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
59,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
27,0.0,family_num>3,False,None,2.0,4.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,2.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,2.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,2.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,1.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,1.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,1.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,1.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,1.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,1.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,1.0,5.0,0.0,0.0
