,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,15.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
23,16.0,3>=family_num>=2,False,house_64,1.0,2.0,48.75,24.375
64,14.5,3>=family_num>=2,False,house_57,2.0,3.0,60.1,20.033333333333335
39,16.0,family_num=1,True,house_98,1.0,1.0,44.5,44.5
50,17.0,3>=family_num>=2,False,house_85,1.0,2.0,48.7,24.35
51,12.6,3>=family_num>=2,True,house_37,1.0,3.0,58.0,19.333333333333332
27,16.6,family_num>3,True,house_4,1.0,4.0,61.7,15.425
26,15.0,family_num=1,True,house_19,1.0,1.0,27.76,27.76
48,15.0,3>=family_num>=2,False,house_52,1.0,2.0,44.3,22.15
44,14.0,3>=family_num>=2,False,house_3,1.0,3.0,61.5,20.5
25,14.0,3>=family_num>=2,False,house_78,1.0,2.0,60.3,30.15
8,16.7,3>=family_num>=2,False,house_54,1.0,2.0,58.54,29.27
45,16.6,3>=family_num>=2,False,house_13,4.0,2.0,38.25,19.125
