tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
68,15.2,family_num=1,True,house_25,1.0,1.0,1.0,42.2,42.2
0,15.0,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
69,16.2,3>=family_num>=2,False,house_39,1.0,1.0,3.0,57.5,19.166666666666668
66,14.8,family_num>3,True,house_4,2.0,1.0,4.0,61.7,15.425
63,16.0,3>=family_num>=2,False,house_85,2.0,1.0,2.0,48.7,24.35
2,9.8,3>=family_num>=2,False,house_37,3.0,2.0,3.0,58.0,19.333333333333332
64,14.5,3>=family_num>=2,False,house_57,2.0,1.0,3.0,60.1,20.033333333333335
61,17.6,3>=family_num>=2,False,house_64,2.0,1.0,3.0,48.75,16.25
62,16.4,family_num>3,False,house_54,3.0,2.0,4.0,58.54,14.635
57,11.8,family_num>3,True,house_52,2.0,1.0,4.0,44.3,11.075
67,16.5,3>=family_num>=2,False,house_98,3.0,3.0,2.0,44.5,22.25
54,16.0,3>=family_num>=2,False,house_3,3.0,2.0,2.0,61.5,30.75
56,15.0,family_num=1,False,house_19,3.0,3.0,1.0,27.76,27.76
58,12.5,family_num=1,False,house_13,5.0,4.0,1.0,38.25,38.25
47,14.4,family_num>3,True,house_78,2.0,1.0,4.0,60.3,15.075
52,15.0,3>=family_num>=2,False,house_71,3.0,3.0,2.0,42.82,21.41
1,0.0,family_num=1,False,None,10.0,2.0,1.0,0.0,0.0
65,0.0,family_num=1,False,None,10.0,3.0,1.0,0.0,0.0
60,0.0,3>=family_num>=2,False,None,9.0,3.0,2.0,0.0,0.0
59,0.0,3>=family_num>=2,False,None,8.0,1.0,2.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,8.0,1.0,2.0,0.0,0.0
24,0.0,3>=family_num>=2,False,None,8.0,1.0,3.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,8.0,1.0,3.0,0.0,0.0
39,0.0,family_num=1,False,None,7.0,7.0,1.0,0.0,0.0
33,0.0,3>=family_num>=2,True,None,7.0,1.0,2.0,0.0,0.0
53,0.0,family_num>3,False,None,7.0,1.0,4.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,2.0,3.0,0.0,0.0
50,0.0,3>=family_num>=2,False,None,7.0,7.0,2.0,0.0,0.0
49,0.0,family_num=1,False,None,7.0,7.0,1.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,6.0,2.0,0.0,0.0
27,0.0,family_num>3,False,None,6.0,1.0,4.0,0.0,0.0
26,0.0,family_num=1,True,None,6.0,6.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,6.0,6.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,1.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,6.0,1.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,5.0,5.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,1.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,1.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,5.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,1.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,1.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,1.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,1.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,1.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,1.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,1.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,1.0,2.0,0.0,0.0
