tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
68,15.2,family_num=1,True,house_25,1.0,1.0,1.0,42.2,42.2
0,15.0,3>=family_num>=2,False,house_51,1.0,1.0,2.0,46.1,23.05
69,16.2,3>=family_num>=2,False,house_39,1.0,1.0,3.0,57.5,19.166666666666668
66,14.8,family_num>3,True,house_4,2.0,1.0,4.0,61.7,15.425
63,16.0,3>=family_num>=2,False,house_85,2.0,1.0,2.0,48.7,24.35
2,9.8,3>=family_num>=2,False,house_37,3.0,2.0,3.0,58.0,19.333333333333332
64,14.5,3>=family_num>=2,False,house_57,2.0,1.0,3.0,60.1,20.033333333333335
61,17.6,3>=family_num>=2,False,house_64,2.0,1.0,3.0,48.75,16.25
62,16.4,family_num>3,False,house_54,3.0,2.0,4.0,58.54,14.635
57,11.8,family_num>3,True,house_52,2.0,1.0,4.0,44.3,11.075
67,16.5,3>=family_num>=2,False,house_98,3.0,3.0,2.0,44.5,22.25
54,16.0,3>=family_num>=2,False,house_3,3.0,2.0,2.0,61.5,30.75
56,15.0,family_num=1,False,house_19,3.0,3.0,1.0,27.76,27.76
58,12.5,family_num=1,False,house_13,5.0,4.0,1.0,38.25,38.25
47,14.4,family_num>3,True,house_78,2.0,1.0,4.0,60.3,15.075
52,15.0,3>=family_num>=2,False,house_71,3.0,3.0,2.0,42.82,21.41
