,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,15.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
68,15.0,family_num=1,True,house_19,2.0,1.0,27.76,27.76
64,17.0,3>=family_num>=2,False,house_4,1.0,3.0,61.7,20.566666666666666
67,11.5,3>=family_num>=2,False,house_37,2.0,2.0,58.0,29.0
1,16.0,family_num=1,False,house_98,3.0,1.0,44.5,44.5
63,16.0,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
62,16.9,family_num>3,False,house_57,2.0,4.0,60.1,15.025
61,17.6,3>=family_num>=2,False,house_64,2.0,3.0,48.75,16.25
65,15.0,family_num=1,False,house_99,4.0,1.0,44.51,44.51
57,11.8,family_num>3,True,house_52,2.0,4.0,44.3,11.075
54,16.6,3>=family_num>=2,False,house_54,2.0,2.0,58.54,29.27
60,17.5,3>=family_num>=2,False,house_94,4.0,2.0,44.4,22.2
53,15.4,family_num>3,False,house_3,2.0,4.0,61.5,15.375
27,15.2,family_num>3,False,house_46,1.0,4.0,44.75,11.1875
37,15.2,family_num>3,False,house_78,2.0,4.0,60.3,15.075
