,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
1,17.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
68,15.8,family_num=1,False,house_98,3.0,1.0,44.5,44.5
63,18.0,3>=family_num>=2,False,house_37,2.0,2.0,58.0,29.0
65,15.0,family_num=1,False,house_13,4.0,1.0,38.25,38.25
62,16.4,family_num>3,False,house_54,3.0,4.0,58.54,14.635
39,18.0,family_num=1,True,house_29,2.0,1.0,44.5,44.5
53,15.4,family_num>3,False,house_3,2.0,4.0,61.5,15.375
27,14.6,family_num>3,True,house_78,2.0,4.0,60.3,15.075
49,16.0,family_num=1,False,house_17,3.0,1.0,38.6,38.6
46,14.0,family_num=1,False,house_46,1.0,1.0,44.75,44.75
