,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,16.0,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
68,15.2,family_num=1,True,house_74,1.0,1.0,42.82,42.82
66,11.9,family_num>3,True,house_39,1.0,4.0,57.5,14.375
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
64,12.4,3>=family_num>=2,False,house_65,1.0,3.0,49.07,16.356666666666666
69,18.0,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
65,16.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
63,17.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
61,15.6,3>=family_num>=2,False,house_85,2.0,3.0,48.7,16.233333333333334
2,9.8,3>=family_num>=2,False,house_37,3.0,3.0,58.0,19.333333333333332
67,10.5,3>=family_num>=2,False,house_57,2.0,2.0,60.1,30.05
23,14.2,3>=family_num>=2,False,house_19,1.0,2.0,27.76,13.88
56,14.0,family_num=1,False,house_10,1.0,1.0,38.05,38.05
62,16.4,family_num>3,False,house_54,3.0,4.0,58.54,14.635
33,15.0,3>=family_num>=2,True,house_98,1.0,2.0,44.5,22.25
39,16.0,family_num=1,False,house_99,1.0,1.0,44.51,44.51
59,11.9,3>=family_num>=2,False,house_64,2.0,2.0,48.75,24.375
50,14.6,3>=family_num>=2,False,house_13,1.0,2.0,38.25,19.125
24,13.9,3>=family_num>=2,False,house_52,2.0,3.0,44.3,14.766666666666666
49,18.0,family_num=1,False,house_29,2.0,1.0,44.5,44.5
52,14.5,3>=family_num>=2,False,house_46,2.0,2.0,44.75,22.375
26,15.0,family_num=1,True,house_94,1.0,1.0,44.4,44.4
36,13.5,3>=family_num>=2,False,house_71,1.0,2.0,42.82,21.41
28,12.8,3>=family_num>=2,True,house_17,2.0,2.0,38.6,19.3
54,17.0,3>=family_num>=2,False,house_78,4.0,2.0,60.3,30.15
27,14.6,family_num>3,False,house_3,2.0,4.0,61.5,15.375
53,14.8,family_num>3,False,house_77,4.0,4.0,60.0,15.0
60,16.5,3>=family_num>=2,False,house_44,6.0,2.0,46.14,23.07
