tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
66,11.9,family_num>3,True,house_39,1.0,1.0,4.0,57.5,14.375
68,15.2,family_num=1,True,house_74,1.0,1.0,1.0,42.82,42.82
0,16.0,3>=family_num>=2,False,house_83,1.0,1.0,2.0,48.35,24.175
1,18.0,family_num=1,False,house_25,1.0,1.0,1.0,42.2,42.2
2,11.8,3>=family_num>=2,False,house_51,1.0,1.0,3.0,46.1,15.366666666666667
69,18.0,3>=family_num>=2,False,house_4,2.0,2.0,3.0,61.7,20.566666666666666
65,16.0,family_num=1,False,house_30,2.0,1.0,1.0,44.6,44.6
60,11.8,3>=family_num>=2,False,house_19,1.0,1.0,2.0,27.76,13.88
58,14.0,family_num=1,False,house_10,1.0,1.0,1.0,38.05,38.05
62,16.9,family_num>3,False,house_57,2.0,2.0,4.0,60.1,15.025
23,16.0,3>=family_num>=2,False,house_98,1.0,1.0,2.0,44.5,22.25
55,16.7,3>=family_num>=2,False,house_37,1.0,1.0,3.0,58.0,19.333333333333332
61,15.6,3>=family_num>=2,False,house_85,2.0,2.0,3.0,48.7,16.233333333333334
64,15.9,3>=family_num>=2,False,house_64,3.0,2.0,3.0,48.75,16.25
56,16.0,family_num=1,False,house_99,2.0,2.0,1.0,44.51,44.51
52,15.1,3>=family_num>=2,False,house_13,1.0,1.0,2.0,38.25,19.125
57,9.4,family_num>3,True,house_44,2.0,2.0,4.0,46.14,11.535
59,15.6,3>=family_num>=2,False,house_65,2.0,2.0,2.0,49.07,24.535
24,13.9,3>=family_num>=2,False,house_52,2.0,2.0,3.0,44.3,14.766666666666666
54,15.0,3>=family_num>=2,False,house_46,3.0,2.0,2.0,44.75,22.375
39,16.0,family_num=1,False,house_94,2.0,1.0,1.0,44.4,44.4
50,18.0,3>=family_num>=2,False,house_71,2.0,2.0,2.0,42.82,21.41
49,18.0,family_num=1,False,house_29,2.0,2.0,1.0,44.5,44.5
28,12.8,3>=family_num>=2,True,house_17,2.0,1.0,2.0,38.6,19.3
9,16.5,3>=family_num>=2,False,house_78,1.0,1.0,3.0,60.3,20.099999999999998
8,16.7,3>=family_num>=2,False,house_54,2.0,1.0,2.0,58.54,29.27
