tenant_ids,choose_u,group_id,priority,choose_house_id,wait_turn,IWT,family_members_num,house_size,avg_area
68,15.2,family_num=1,True,house_74,1.0,1.0,1.0,42.82,42.82
69,16.2,3>=family_num>=2,False,house_39,1.0,1.0,3.0,57.5,19.166666666666668
66,13.4,family_num>3,True,house_51,1.0,1.0,4.0,46.1,11.525
0,16.0,3>=family_num>=2,False,house_83,1.0,1.0,2.0,48.35,24.175
1,18.0,family_num=1,False,house_25,1.0,1.0,1.0,42.2,42.2
62,16.2,family_num>3,False,house_4,1.0,1.0,4.0,61.7,15.425
65,16.0,family_num=1,False,house_10,2.0,1.0,1.0,38.05,38.05
60,17.5,3>=family_num>=2,False,house_30,1.0,1.0,2.0,44.6,22.3
2,11.6,3>=family_num>=2,False,house_64,3.0,1.0,3.0,48.75,16.25
67,16.5,3>=family_num>=2,False,house_85,2.0,2.0,2.0,48.7,24.35
64,12.4,3>=family_num>=2,False,house_65,2.0,2.0,3.0,49.07,16.356666666666666
63,15.0,3>=family_num>=2,False,house_52,3.0,2.0,2.0,44.3,22.15
54,16.6,3>=family_num>=2,False,house_54,2.0,1.0,2.0,58.54,29.27
61,15.6,3>=family_num>=2,False,house_44,3.0,3.0,3.0,46.14,15.38
53,14.8,family_num>3,False,house_37,1.0,1.0,4.0,58.0,14.5
33,15.0,3>=family_num>=2,True,house_98,1.0,1.0,2.0,44.5,22.25
52,15.1,3>=family_num>=2,False,house_13,1.0,1.0,2.0,38.25,19.125
50,14.2,3>=family_num>=2,False,house_19,1.0,1.0,2.0,27.76,13.88
56,17.0,family_num=1,False,house_29,3.0,1.0,1.0,44.5,44.5
57,9.8,family_num>3,True,house_46,3.0,2.0,4.0,44.75,11.1875
59,11.8,3>=family_num>=2,False,house_3,3.0,1.0,2.0,61.5,30.75
39,18.0,family_num=1,False,house_71,2.0,1.0,1.0,42.82,42.82
27,12.7,family_num>3,False,house_57,1.0,1.0,4.0,60.1,15.025
49,16.0,family_num=1,False,house_99,2.0,2.0,1.0,44.51,44.51
26,15.0,family_num=1,True,house_94,1.0,1.0,1.0,44.4,44.4
36,14.6,3>=family_num>=2,False,house_17,2.0,1.0,2.0,38.6,19.3
38,15.6,family_num>3,False,house_78,2.0,2.0,4.0,60.3,15.075
37,14.4,family_num>3,False,house_77,2.0,2.0,4.0,60.0,15.0
58,0.0,family_num=1,False,None,5.0,1.0,1.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,4.0,4.0,2.0,0.0,0.0
24,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,4.0,4.0,3.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,3.0,3.0,3.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,2.0,2.0,2.0,0.0,0.0
47,0.0,family_num>3,True,None,2.0,1.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,1.0,1.0,1.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,1.0,1.0,2.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,1.0,1.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,1.0,1.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,1.0,1.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,1.0,1.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,1.0,1.0,5.0,0.0,0.0
