,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,14.2,3>=family_num>=2,False,house_83,1.0,3.0,48.35,16.116666666666667
1,13.8,family_num=1,False,house_74,1.0,1.0,42.82,42.82
0,15.0,3>=family_num>=2,False,house_51,1.0,2.0,46.1,23.05
65,17.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
2,11.2,3>=family_num>=2,False,house_65,2.0,3.0,49.07,16.356666666666666
60,15.4,3>=family_num>=2,False,house_10,1.0,2.0,38.05,19.025
58,16.5,family_num=1,False,house_30,1.0,1.0,44.6,44.6
64,12.9,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
63,16.0,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
61,17.6,3>=family_num>=2,False,house_64,2.0,3.0,48.75,16.25
67,11.5,3>=family_num>=2,False,house_37,2.0,2.0,58.0,29.0
55,14.9,3>=family_num>=2,False,house_57,1.0,3.0,60.1,20.033333333333335
54,18.0,3>=family_num>=2,False,house_4,1.0,2.0,61.7,30.85
53,12.6,family_num>3,False,house_54,1.0,4.0,58.54,14.635
23,16.0,3>=family_num>=2,False,house_44,2.0,2.0,46.14,23.07
49,14.0,family_num=1,False,house_19,1.0,1.0,27.76,27.76
24,13.9,3>=family_num>=2,False,house_52,3.0,3.0,44.3,14.766666666666666
56,17.0,family_num=1,False,house_29,3.0,1.0,44.5,44.5
62,13.4,family_num>3,False,house_46,4.0,4.0,44.75,11.1875
39,18.0,family_num=1,False,house_71,2.0,1.0,42.82,42.82
50,14.6,3>=family_num>=2,False,house_13,2.0,2.0,38.25,19.125
26,17.0,family_num=1,True,house_98,1.0,1.0,44.5,44.5
27,14.2,family_num>3,False,house_99,1.0,4.0,44.51,11.1275
36,16.0,3>=family_num>=2,False,house_94,1.0,2.0,44.4,22.2
33,14.4,3>=family_num>=2,True,house_17,3.0,2.0,38.6,19.3
37,14.4,family_num>3,False,house_77,2.0,4.0,60.0,15.0
30,15.0,3>=family_num>=2,False,house_78,1.0,2.0,60.3,30.15
68,0.0,family_num=1,True,None,10.0,1.0,0.0,0.0
66,0.0,family_num>3,True,None,10.0,4.0,0.0,0.0
59,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
57,0.0,family_num>3,True,None,8.0,4.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
51,0.0,3>=family_num>=2,False,None,7.0,3.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
38,0.0,family_num>3,False,None,6.0,4.0,0.0,0.0
47,0.0,family_num>3,True,None,6.0,4.0,0.0,0.0
32,0.0,family_num=1,True,None,5.0,1.0,0.0,0.0
35,0.0,3>=family_num>=2,False,None,5.0,3.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
46,0.0,family_num=1,False,None,5.0,1.0,0.0,0.0
45,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
43,0.0,family_num>3,False,None,5.0,5.0,0.0,0.0
40,0.0,3>=family_num>=2,True,None,4.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,False,None,4.0,2.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,3.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,3.0,2.0,0.0,0.0
