,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
2,12.6,3>=family_num>=2,False,house_52,1.0,3.0,44.3,14.766666666666666
67,16.0,3>=family_num>=2,True,house_77,1.0,2.0,60.0,30.0
0,18.0,3>=family_num>=2,False,house_29,1.0,2.0,44.5,22.25
69,17.0,3>=family_num>=2,False,house_3,1.0,3.0,61.5,20.5
1,15.0,family_num=1,False,house_19,1.0,1.0,27.76,27.76
66,14.8,family_num>3,False,house_4,1.0,4.0,61.7,15.425
68,15.8,family_num=1,False,house_98,1.0,1.0,44.5,44.5
63,15.0,3>=family_num>=2,False,house_46,3.0,2.0,44.75,22.375
58,16.0,family_num=1,True,house_71,1.0,1.0,42.82,42.82
60,13.0,3>=family_num>=2,False,house_65,2.0,2.0,49.07,24.535
55,17.0,3>=family_num>=2,False,house_78,2.0,3.0,60.3,20.099999999999998
24,15.3,3>=family_num>=2,False,house_74,2.0,3.0,42.82,14.273333333333333
62,16.9,family_num>3,False,house_57,3.0,4.0,60.1,15.025
27,14.2,family_num>3,True,house_37,1.0,4.0,58.0,14.5
59,14.2,3>=family_num>=2,False,house_17,3.0,2.0,38.6,19.3
54,18.0,3>=family_num>=2,False,house_39,1.0,2.0,57.5,28.75
53,12.6,family_num>3,False,house_54,3.0,4.0,58.54,14.635
57,13.8,family_num>3,False,house_94,5.0,4.0,44.4,11.1
52,16.5,3>=family_num>=2,False,house_83,3.0,2.0,48.35,24.175
33,13.4,3>=family_num>=2,False,house_64,3.0,2.0,48.75,24.375
39,18.0,family_num=1,True,house_25,3.0,1.0,42.2,42.2
23,16.0,3>=family_num>=2,False,house_44,5.0,2.0,46.14,23.07
50,16.0,3>=family_num>=2,False,house_30,3.0,2.0,44.6,22.3
49,16.0,family_num=1,False,house_99,3.0,1.0,44.51,44.51
28,15.8,3>=family_num>=2,False,house_13,3.0,2.0,38.25,19.125
51,16.2,3>=family_num>=2,True,house_10,4.0,3.0,38.05,12.683333333333332
44,15.4,3>=family_num>=2,False,house_85,1.0,3.0,48.7,16.233333333333334
41,11.6,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
