,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
0,8.0,3>=family_num>=2,False,house_25,1.0,2.0,42.2,21.1
2,5.0,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
68,7.0,family_num=1,False,house_74,1.0,1.0,42.82,42.82
66,7.0,family_num>3,False,house_51,1.0,4.0,46.1,11.525
1,8.0,family_num=1,False,house_30,2.0,1.0,44.6,44.6
65,6.0,family_num=1,False,house_98,3.0,1.0,44.5,44.5
64,6.0,3>=family_num>=2,False,house_83,3.0,3.0,48.35,16.116666666666667
61,8.0,3>=family_num>=2,False,house_65,3.0,3.0,49.07,16.356666666666666
59,4.0,3>=family_num>=2,False,house_64,3.0,2.0,48.75,24.375
60,8.0,3>=family_num>=2,False,house_52,4.0,2.0,44.3,22.15
24,5.0,3>=family_num>=2,False,house_57,4.0,3.0,60.1,20.033333333333335
57,4.0,family_num>3,False,house_44,4.0,4.0,46.14,11.535
56,7.0,family_num=1,False,house_29,5.0,1.0,44.5,44.5
52,6.0,3>=family_num>=2,False,house_46,5.0,2.0,44.75,22.375
27,7.0,family_num>3,True,house_94,5.0,4.0,44.4,11.1
36,5.0,3>=family_num>=2,True,house_19,5.0,2.0,27.76,13.88
50,8.0,3>=family_num>=2,False,house_71,6.0,2.0,42.82,21.41
49,7.0,family_num=1,False,house_99,6.0,1.0,44.51,44.51
26,7.0,family_num=1,True,house_17,6.0,1.0,38.6,38.6
32,7.0,family_num=1,False,house_13,6.0,1.0,38.25,38.25
30,5.0,3>=family_num>=2,False,house_77,6.0,2.0,60.0,30.0
35,5.0,3>=family_num>=2,False,house_54,6.0,3.0,58.54,19.513333333333332
46,7.0,family_num=1,False,house_10,6.0,1.0,38.05,38.05
45,7.0,3>=family_num>=2,False,house_85,6.0,2.0,48.7,24.35
43,8.0,family_num>3,False,house_37,7.0,5.0,58.0,11.6
44,7.0,3>=family_num>=2,False,house_78,8.0,3.0,60.3,20.099999999999998
69,0.0,3>=family_num>=2,False,None,11.0,3.0,0.0,0.0
67,0.0,3>=family_num>=2,True,None,11.0,2.0,0.0,0.0
63,0.0,3>=family_num>=2,False,None,11.0,2.0,0.0,0.0
62,0.0,family_num>3,False,None,11.0,4.0,0.0,0.0
58,0.0,family_num=1,True,None,11.0,1.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,11.0,2.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,11.0,3.0,0.0,0.0
54,0.0,3>=family_num>=2,False,None,11.0,2.0,0.0,0.0
39,0.0,family_num=1,True,None,11.0,1.0,0.0,0.0
33,0.0,3>=family_num>=2,False,None,11.0,2.0,0.0,0.0
53,0.0,family_num>3,False,None,11.0,4.0,0.0,0.0
51,0.0,3>=family_num>=2,True,None,11.0,3.0,0.0,0.0
28,0.0,3>=family_num>=2,False,None,11.0,2.0,0.0,0.0
38,0.0,family_num>3,True,None,11.0,4.0,0.0,0.0
37,0.0,family_num>3,False,None,11.0,4.0,0.0,0.0
47,0.0,family_num>3,False,None,11.0,4.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,11.0,2.0,0.0,0.0
40,0.0,3>=family_num>=2,False,None,11.0,2.0,0.0,0.0
41,0.0,3>=family_num>=2,False,None,11.0,3.0,0.0,0.0
25,0.0,3>=family_num>=2,False,None,11.0,2.0,0.0,0.0
42,0.0,3>=family_num>=2,True,None,11.0,2.0,0.0,0.0
12,0.0,family_num>3,True,None,11.0,4.0,0.0,0.0
13,0.0,family_num=1,False,None,11.0,1.0,0.0,0.0
9,0.0,3>=family_num>=2,False,None,11.0,3.0,0.0,0.0
8,0.0,3>=family_num>=2,False,None,11.0,2.0,0.0,0.0
