,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,16.2,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
0,16.4,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
1,17.0,family_num=1,False,house_30,1.0,1.0,44.6,44.6
2,11.2,3>=family_num>=2,False,house_42,1.0,3.0,56.3,18.766666666666666
68,12.0,family_num=1,True,house_28,1.0,1.0,44.3,44.3
66,12.7,family_num>3,True,house_52,1.0,4.0,44.3,11.075
65,16.0,family_num=1,False,house_26,1.0,1.0,43.5,43.5
63,18.0,3>=family_num>=2,False,house_37,1.0,2.0,58.0,29.0
62,12.4,family_num>3,False,house_44,1.0,4.0,46.14,11.535
61,15.6,3>=family_num>=2,False,house_86,2.0,3.0,48.8,16.266666666666666
60,17.5,3>=family_num>=2,False,house_46,2.0,2.0,44.75,22.375
58,18.0,family_num=1,False,house_33,2.0,1.0,45.0,45.0
59,16.0,3>=family_num>=2,False,house_93,2.0,2.0,44.35,22.175
23,14.0,3>=family_num>=2,False,house_87,2.0,2.0,48.9,24.45
24,14.9,3>=family_num>=2,False,house_48,2.0,3.0,44.5,14.833333333333334
56,16.0,family_num=1,False,house_32,2.0,1.0,44.8,44.8
55,17.0,3>=family_num>=2,False,house_80,2.0,3.0,60.4,20.133333333333333
54,18.0,3>=family_num>=2,False,house_31,1.0,2.0,44.7,22.35
52,16.0,3>=family_num>=2,False,house_29,1.0,2.0,44.5,22.25
33,9.4,3>=family_num>=2,True,house_55,1.0,2.0,59.2,29.6
53,11.6,family_num>3,False,house_64,1.0,4.0,48.75,12.1875
57,7.4,family_num>3,True,house_61,3.0,4.0,60.5,15.125
26,15.2,family_num=1,True,house_27,2.0,1.0,44.0,44.0
36,12.8,3>=family_num>=2,False,house_51,2.0,2.0,46.1,23.05
35,17.4,3>=family_num>=2,False,house_68,2.0,3.0,48.55,16.183333333333334
46,16.0,family_num=1,False,house_13,2.0,1.0,38.25,38.25
43,15.5,family_num>3,False,house_63,1.0,5.0,48.5,9.7
40,14.4,3>=family_num>=2,True,house_18,1.0,2.0,38.7,19.35
44,13.8,3>=family_num>=2,False,house_40,1.0,3.0,57.8,19.266666666666666
42,15.5,3>=family_num>=2,False,house_83,1.0,2.0,48.35,24.175
12,12.1,family_num>3,False,house_57,1.0,4.0,60.1,15.025
47,14.3,family_num>3,True,house_89,3.0,4.0,49.04,12.26
41,16.0,3>=family_num>=2,False,house_81,2.0,3.0,60.5,20.166666666666668
