,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,15.9,3>=family_num>=2,False,house_55,1.0,3.0,59.2,19.733333333333334
0,16.0,3>=family_num>=2,False,house_44,1.0,2.0,46.14,23.07
1,17.0,family_num=1,False,house_30,1.0,1.0,44.6,44.6
2,11.8,3>=family_num>=2,False,house_61,1.0,3.0,60.5,20.166666666666668
68,12.0,family_num=1,True,house_28,1.0,1.0,44.3,44.3
66,12.8,family_num>3,True,house_7,1.0,4.0,62.3,15.575
65,16.0,family_num=1,False,house_26,1.0,1.0,43.5,43.5
64,12.4,3>=family_num>=2,False,house_42,1.0,3.0,56.3,18.766666666666666
63,18.0,3>=family_num>=2,False,house_65,1.0,2.0,49.07,24.535
61,15.2,3>=family_num>=2,False,house_52,1.0,3.0,44.3,14.766666666666666
58,14.5,family_num=1,False,house_93,3.0,1.0,44.35,44.35
59,16.1,3>=family_num>=2,False,house_48,3.0,2.0,44.5,22.25
24,12.9,3>=family_num>=2,False,house_46,3.0,3.0,44.75,14.916666666666666
57,11.8,family_num>3,True,house_86,3.0,4.0,48.8,12.2
56,17.0,family_num=1,False,house_33,3.0,1.0,45.0,45.0
39,18.0,family_num=1,False,house_29,2.0,1.0,44.5,44.5
53,15.8,family_num>3,False,house_87,2.0,4.0,48.9,12.225
51,15.9,3>=family_num>=2,False,house_80,2.0,3.0,60.4,20.133333333333333
50,16.0,3>=family_num>=2,False,house_32,2.0,2.0,44.8,22.4
49,16.0,family_num=1,False,house_31,2.0,1.0,44.7,44.7
27,16.2,family_num>3,False,house_64,2.0,4.0,48.75,12.1875
38,15.7,family_num>3,False,house_4,3.0,4.0,61.7,15.425
37,14.2,family_num>3,False,house_5,3.0,4.0,61.9,15.475
47,9.3,family_num>3,True,house_39,3.0,4.0,57.5,14.375
35,17.2,3>=family_num>=2,False,house_57,3.0,3.0,60.1,20.033333333333335
32,15.0,family_num=1,True,house_27,4.0,1.0,44.0,44.0
46,16.0,family_num=1,False,house_13,4.0,1.0,38.25,38.25
45,14.1,3>=family_num>=2,False,house_51,3.0,2.0,46.1,23.05
40,10.4,3>=family_num>=2,True,house_68,3.0,2.0,48.55,24.275
25,13.7,3>=family_num>=2,False,house_63,3.0,2.0,48.5,24.25
42,16.5,3>=family_num>=2,False,house_89,3.0,2.0,49.04,24.52
9,11.9,3>=family_num>=2,False,house_83,3.0,3.0,48.35,16.116666666666667
8,16.0,3>=family_num>=2,False,house_3,3.0,2.0,61.5,30.75
43,14.2,family_num>3,False,house_81,4.0,5.0,60.5,12.1
41,15.8,3>=family_num>=2,False,house_18,4.0,3.0,38.7,12.9
67,0.0,3>=family_num>=2,False,None,8.0,2.0,0.0,0.0
62,0.0,family_num>3,False,None,7.0,4.0,0.0,0.0
60,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
23,0.0,3>=family_num>=2,False,None,7.0,2.0,0.0,0.0
55,0.0,3>=family_num>=2,False,None,7.0,3.0,0.0,0.0
54,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
52,0.0,3>=family_num>=2,False,None,6.0,2.0,0.0,0.0
33,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
28,0.0,3>=family_num>=2,True,None,6.0,2.0,0.0,0.0
26,0.0,family_num=1,True,None,5.0,1.0,0.0,0.0
36,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
30,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
48,0.0,3>=family_num>=2,False,None,5.0,2.0,0.0,0.0
44,0.0,3>=family_num>=2,False,None,4.0,3.0,0.0,0.0
12,0.0,family_num>3,False,None,4.0,4.0,0.0,0.0
13,0.0,family_num=1,True,None,4.0,1.0,0.0,0.0
