,choose_u,group_id,priority,choose_house_id,family_members_num,house_size,avg_area
2,7.0,large_house,False,house_2,3.0,61.3,20.433333333333334
0,7.0,middle_house,False,house_18,2.0,38.7,19.35
66,7.0,large_house,False,house_6,4.0,62.0,15.5
61,8.0,large_house,False,house_4,3.0,61.7,20.566666666666666
69,7.0,large_house,False,house_53,3.0,46.2,15.4
1,7.0,small_house,False,house_23,1.0,37.8,37.8
62,7.0,large_house,False,house_8,4.0,62.5,15.625
68,7.0,small_house,False,house_20,1.0,28.9,28.9
65,7.0,small_house,False,house_22,1.0,35.5,35.5
58,7.0,small_house,True,house_31,1.0,44.7,44.7
67,7.0,middle_house,True,house_45,2.0,45.0,22.5
60,7.0,middle_house,False,house_41,2.0,58.1,29.05
64,7.0,large_house,False,house_50,3.0,45.8,15.266666666666666
23,7.0,middle_house,False,house_43,2.0,58.2,29.1
24,7.0,large_house,False,house_40,3.0,57.8,19.266666666666666
63,7.0,middle_house,False,house_63,2.0,48.5,24.25
57,7.0,large_house,False,house_60,4.0,58.95,14.7375
39,7.0,small_house,True,house_76,1.0,42.82,42.82
55,7.0,large_house,False,house_55,3.0,59.2,19.733333333333334
59,7.0,middle_house,False,house_89,2.0,49.04,24.52
51,7.0,large_house,True,house_88,3.0,49.0,16.333333333333332
52,7.0,middle_house,False,house_72,2.0,42.82,21.41
49,7.0,small_house,False,house_73,1.0,42.82,42.82
27,7.0,large_house,True,house_97,4.0,44.5,11.125
33,7.0,middle_house,False,house_87,2.0,48.9,24.45
26,8.0,small_house,True,house_94,1.0,44.4,44.4
36,7.0,middle_house,True,house_96,2.0,44.5,22.25
50,7.0,middle_house,False,house_83,2.0,48.35,24.175
